Ticker,Weightage,2024-12-05,2024-12-06,2024-12-09,2024-12-10,2024-12-11
ADANIPORTS,0.0082,51.36838611783252,52.10277388183094,51.781979922017996,52.532532532532535,53.169069058075905
APOLLOHOSP,0.0061,6.708134300147772,6.746575051178637,6.783571986841788,6.723337601525409,6.647776985940761
ASIANPAINT,0.0195,63.6163457736999,64.20545875418043,65.22147861726906,65.30202452055374,64.53481026305639
AXISBANK,0.0257,176.2688577645414,173.56801445696618,176.74618525682357,178.21695977896243,179.21115711483984
BAJAJFINSV,0.012,58.39060971081564,58.70841662586956,58.6420678272611,57.71311686364576,56.922620812333236
BAJFINANCE,0.0237,27.677216323550912,27.67762074738118,27.604882876412915,27.334851166512195,26.647552022838752
BHARTIARTL,0.0233,115.39295064054893,116.65675930035073,116.31462002469515,118.07556907312937,117.52837326607819
BPCL,0.0046,123.9057239057239,122.52371983410875,121.27203334858625,121.25205930807249,119.69425447678807
BRITANNIA,0.0052,8.538587848932677,8.540603624820447,8.679324014187356,8.689748811948405,8.508027405665201
CIPLA,0.0068,36.309027198398134,36.82144246719846,37.03199455411845,37.38317882445748,37.411457886916764
COALINDIA,0.0051,97.51434176668334,97.80654583953921,98.55072463768116,98.53882671867295,97.85345678258734
DIVISLAB,0.0077,10.104655035339157,10.047710312767606,10.336177629456822,10.383305630921571,10.391450327755777
DRREDDY,0.0067,43.23103686368935,42.753451453753584,42.70405844514237,43.21360991254063,43.276410227196344
EICHERMOT,0.0049,8.10327574550569,8.037646029844423,8.09566081026995,8.144524073244067,8.163349973572343
GRASIM,0.0085,25.121914723416584,25.167475649639623,25.359887549993108,25.60915856948473,25.461012824113077
HCLTECH,0.0153,63.61746361746362,63.66047907027713,64.08712416114611,63.21171355553217,63.3901281539124
HDFCBANK,0.081,347.31341283666086,349.16615487488986,346.524064171123,346.87651007369243,347.80742230228765
HDFCLIFE,0.0072,89.5591974088411,90.49489395129615,89.74758662441819,90.95215712972654,90.75868239850604
HEROMOTOCO,0.0043,7.406849026596811,7.430447398127348,7.484850474464505,7.497330484999316,7.397133300056425
HINDALCO,0.0094,112.09659795294529,112.21367941566547,112.0882355991516,112.42337756807989,112.1551081282625
HINDUNILVR,0.0267,85.6249465398015,85.99726056885217,88.97219618869103,89.09837583122479,88.9499620269766
ICICIBANK,0.069,413.01907968574636,415.42803386641583,417.45442003817845,414.89723045484897,415.819209039548
INDUSINDBK,0.0085,68.12261988421665,68.66259572507992,69.20415396860832,69.08462952689041,69.04604933309089
INFY,0.0766,316.71706216624034,318.7682023603689,318.5610647584697,314.4902541089685,310.4120722445509
ITC,0.0303,518.5026737967914,514.4858392023185,521.3463676436361,520.7863221457624,521.0102095647501
JSWSTEEL,0.0094,75.26020724709397,74.91532268827822,74.31564204531404,74.23860910584627,75.18496208979685
KOTAKBANK,0.0351,158.1838132766755,158.0235840715807,157.20083974807557,156.46069406568358,156.46069406568358
LT,0.0274,57.209222692273606,56.68916718856538,55.53162852797981,55.873470414435744,55.964766707091336
MARUTI,0.0137,9.801247512799302,9.68373231094377,9.716484503071941,9.787287071888382,9.7182505375629
NESTLEIND,0.0087,30.721694990068418,30.69053642359937,31.22686450434148,31.4299268597911,31.056869986636297
NTPC,0.0099,214.5469356887189,214.34370771312584,214.14086438552897,214.5469356887189,216.68946648426814
ONGC,0.0078,238.80598130544232,239.95386629157602,241.01970440736784,242.89607427995324,243.1800409810866
POWERGRID,0.0104,253.38814817554888,252.96443157182233,252.81069114848373,253.73589981299492,254.00703129498328
RELIANCE,0.1286,778.1853651546216,784.4153571716433,794.3481300287496,800.7160521062627,804.8818958698746
SBILIFE,0.0065,36.316653899945564,35.89796572239111,35.391001342083825,35.571365645204054,35.710606138213116
SBIN,0.0254,234.79114580148726,235.28048892010355,236.81603973057608,234.23631123919307,235.84030380434066
SHREECEM,0.0046,1.3830426939266387,1.3591045963625399,1.3776966633908934,1.356967139265004,1.3477138305469594
SUNPHARMA,0.0134,59.11384537010573,59.39551843648275,59.33633993931248,59.22815707174223,59.09592061742006
TATACONSUM,0.0066,54.63293427812516,54.18441104065801,56.53407496106513,56.97329376854599,56.46756931640167
TATAMOTORS,0.0105,105.98700560694806,102.84035413243807,105.16431924882629,105.01312343568326,105.11826125186309
TATASTEEL,0.0137,745.2233259116158,739.0923525670503,731.2516441782448,729.1111938519832,727.7556145958316
TCS,0.0491,87.99184981931388,88.35901473400068,88.22703831091084,88.61716558370242,88.71923628093467
TECHM,0.0105,47.007472114657226,47.116893481809754,47.24808119555509,47.63119711619061,47.651462260760404
TITAN,0.0137,31.85074278048501,31.584103315643617,31.601407514860007,31.532762713083507,31.556821547977066
ULTRACEMCO,0.0102,6.838294560841077,6.886947714900621,6.90659184657749,6.9471642082163845,6.858007311846031
UPL,0.006,85.990682462037,85.31058014257916,86.4241949766552,87.28065994101692,86.95652173913044
WIPRO,0.0101,269.9632585882056,271.7336416393794,266.0082304526749,262.2525102218037,261.48867313915855
